name,prediction
model_antiviral3_2396_complex.10,0.992331
model_antiviral3_625_complex.19,0.9904727
model_antiviral3_3239_complex.7,0.9889101
model_antiviral3_2334_complex.11,0.9880995
model_antiviral3_1209_complex.20,0.98443377
model_antiviral3_984_complex.14,0.98402196
model_antiviral3_4473_complex.13,0.98363173
model_antiviral3_3021_complex.5,0.9821732
model_antiviral3_427_complex.11,0.9799279
model_antiviral3_4104_complex.5,0.9768811
model_antiviral3_1383_complex.2,0.9757159
model_antiviral3_3641_complex.9,0.9745309
model_antiviral3_3909_complex.16,0.974414
model_antiviral3_1352_complex.8,0.9736685
model_antiviral3_3408_complex.5,0.9733569
model_antiviral3_2559_complex.9,0.9722349
model_antiviral3_3320_complex.16,0.9713752
model_antiviral3_41_complex.17,0.9694566
model_antiviral3_803_complex.5,0.9689605
model_antiviral3_1373_complex.15,0.966998
model_antiviral3_2616_complex.4,0.96682
model_antiviral3_3202_complex.12,0.9662573
model_antiviral3_3957_complex.2,0.96614665
model_antiviral3_2153_complex.14,0.9660297
model_antiviral3_3013_complex.6,0.96587867
model_antiviral3_307_complex.11,0.96544915
model_antiviral3_2399_complex.2,0.965331
model_antiviral3_909_complex.2,0.96501386
model_antiviral3_3065_complex.19,0.96445644
model_antiviral3_3872_complex.2,0.96427464
model_antiviral3_3019_complex.5,0.9636613
model_antiviral3_3810_complex.20,0.9631185
model_antiviral3_2659_complex.17,0.96259964
model_antiviral3_825_complex.1,0.9623843
model_antiviral3_1298_complex.13,0.96188015
model_antiviral3_1421_complex.20,0.961836
model_antiviral3_3700_complex.7,0.9612948
model_antiviral3_4497_complex.7,0.9602486
model_antiviral3_1637_complex.5,0.9600944
model_antiviral3_909_complex.14,0.95991766
model_antiviral3_2455_complex.3,0.95960504
model_antiviral3_2915_complex.19,0.9595812
model_antiviral3_1461_complex.15,0.9594146
model_antiviral3_2396_complex.16,0.9585378
model_antiviral3_359_complex.10,0.9581058
model_antiviral3_2184_complex.11,0.95751226
model_antiviral3_95_complex.20,0.9573583
model_antiviral3_2894_complex.5,0.95702046
model_antiviral3_886_complex.16,0.956484
model_antiviral3_818_complex.8,0.95632637
model_antiviral3_2747_complex.15,0.95626086
model_antiviral3_1610_complex.14,0.9562293
model_antiviral3_3295_complex.9,0.9560249
model_antiviral3_4383_complex.3,0.9558934
model_antiviral3_3621_complex.3,0.95587695
model_antiviral3_3832_complex.19,0.9557126
model_antiviral3_299_complex.15,0.95558566
model_antiviral3_2882_complex.7,0.9555117
model_antiviral3_3003_complex.17,0.9546637
model_antiviral3_1427_complex.10,0.9541399
model_antiviral3_1204_complex.8,0.95287526
model_antiviral3_179_complex.7,0.95192343
model_antiviral3_3580_complex.18,0.9507261
model_antiviral3_1157_complex.15,0.9497457
model_antiviral3_3052_complex.14,0.9495784
model_antiviral3_2429_complex.20,0.94787407
model_antiviral3_1762_complex.20,0.94746387
model_antiviral3_1480_complex.4,0.94736475
model_antiviral3_1393_complex.11,0.9472842
model_antiviral3_422_complex.3,0.9472525
model_antiviral3_389_complex.18,0.94713813
model_antiviral3_753_complex.19,0.9469171
model_antiviral3_4385_complex.13,0.9467518
model_antiviral3_1220_complex.15,0.94612294
model_antiviral3_1065_complex.20,0.94576603
model_antiviral3_2082_complex.12,0.9437069
model_antiviral3_770_complex.5,0.94363314
model_antiviral3_1399_complex.19,0.94355375
model_antiviral3_4016_complex.19,0.9434753
model_antiviral3_4040_complex.20,0.9431104
model_antiviral3_4178_complex.20,0.94285095
model_antiviral3_307_complex.7,0.94266564
model_antiviral3_4270_complex.18,0.9426581
model_antiviral3_314_complex.12,0.9424059
model_antiviral3_4475_complex.19,0.94180024
model_antiviral3_3165_complex.4,0.941376
model_antiviral3_1463_complex.11,0.9400143
model_antiviral3_808_complex.14,0.9392787
model_antiviral3_2041_complex.11,0.9389963
model_antiviral3_2934_complex.2,0.9387583
model_antiviral3_2812_complex.6,0.93835485
model_antiviral3_514_complex.7,0.93782455
model_antiviral3_1719_complex.8,0.93778336
model_antiviral3_3239_complex.20,0.9372634
model_antiviral3_273_complex.14,0.9370716
model_antiviral3_1310_complex.11,0.93678486
model_antiviral3_2106_complex.20,0.93673617
model_antiviral3_110_complex.10,0.93629104
model_antiviral3_3615_complex.14,0.93610895
model_antiviral3_2412_complex.19,0.9356763
model_antiviral3_3395_complex.2,0.9345796
model_antiviral3_2227_complex.10,0.9345314
model_antiviral3_903_complex.12,0.9343933
model_antiviral3_407_complex.13,0.93367994
model_antiviral3_3568_complex.13,0.9336693
model_antiviral3_3641_complex.14,0.9336628
model_antiviral3_718_complex.3,0.9335221
model_antiviral3_1344_complex.16,0.93342185
model_antiviral3_1690_complex.15,0.9332426
model_antiviral3_3971_complex.5,0.9330866
model_antiviral3_1921_complex.3,0.9328235
model_antiviral3_2549_complex.4,0.93277913
model_antiviral3_1781_complex.13,0.9327077
model_antiviral3_3461_complex.6,0.9326096
model_antiviral3_588_complex.7,0.9325509
model_antiviral3_4313_complex.10,0.9324285
model_antiviral3_2183_complex.3,0.93239516
model_antiviral3_2879_complex.14,0.93232757
model_antiviral3_2483_complex.7,0.9315302
model_antiviral3_1546_complex.15,0.9315025
model_antiviral3_4350_complex.15,0.93146294
model_antiviral3_3288_complex.15,0.931426
model_antiviral3_2200_complex.17,0.930969
model_antiviral3_992_complex.4,0.9306898
model_antiviral3_74_complex.7,0.93013966
model_antiviral3_2889_complex.17,0.9299088
model_antiviral3_807_complex.17,0.9297714
model_antiviral3_2775_complex.7,0.9285479
model_antiviral3_4016_complex.14,0.92843163
model_antiviral3_4369_complex.15,0.92823756
model_antiviral3_2787_complex.5,0.92790663
