name,prediction,conf
model_antiviral3_2396,0.992331,model_antiviral3_2396_complex.10
model_antiviral3_625,0.9904726999999999,model_antiviral3_625_complex.19
model_antiviral3_3239,0.9889101,model_antiviral3_3239_complex.7
model_antiviral3_2334,0.9880995000000001,model_antiviral3_2334_complex.11
model_antiviral3_1209,0.98443377,model_antiviral3_1209_complex.20
model_antiviral3_984,0.98402196,model_antiviral3_984_complex.14
model_antiviral3_4473,0.98363173,model_antiviral3_4473_complex.13
model_antiviral3_3021,0.9821732,model_antiviral3_3021_complex.5
model_antiviral3_427,0.9799279000000001,model_antiviral3_427_complex.11
model_antiviral3_4104,0.9768811,model_antiviral3_4104_complex.5
model_antiviral3_1383,0.9757159,model_antiviral3_1383_complex.2
model_antiviral3_3641,0.9745309000000001,model_antiviral3_3641_complex.9
model_antiviral3_3909,0.9744139999999999,model_antiviral3_3909_complex.16
model_antiviral3_1352,0.9736684999999999,model_antiviral3_1352_complex.8
model_antiviral3_3408,0.9733569,model_antiviral3_3408_complex.5
model_antiviral3_2559,0.9722349,model_antiviral3_2559_complex.9
model_antiviral3_3320,0.9713752,model_antiviral3_3320_complex.16
model_antiviral3_41,0.9694565999999999,model_antiviral3_41_complex.17
model_antiviral3_803,0.9689605,model_antiviral3_803_complex.5
model_antiviral3_1373,0.9669979999999999,model_antiviral3_1373_complex.15
model_antiviral3_2616,0.9668200000000001,model_antiviral3_2616_complex.4
model_antiviral3_3202,0.9662573,model_antiviral3_3202_complex.12
model_antiviral3_3957,0.96614665,model_antiviral3_3957_complex.2
model_antiviral3_2153,0.9660296999999999,model_antiviral3_2153_complex.14
model_antiviral3_3013,0.96587867,model_antiviral3_3013_complex.6
model_antiviral3_307,0.96544915,model_antiviral3_307_complex.11
model_antiviral3_2399,0.9653309999999999,model_antiviral3_2399_complex.2
model_antiviral3_909,0.96501386,model_antiviral3_909_complex.2
model_antiviral3_3065,0.96445644,model_antiviral3_3065_complex.19
model_antiviral3_3872,0.96427464,model_antiviral3_3872_complex.2
model_antiviral3_3019,0.9636613000000002,model_antiviral3_3019_complex.5
model_antiviral3_3810,0.9631185,model_antiviral3_3810_complex.20
model_antiviral3_2659,0.96259964,model_antiviral3_2659_complex.17
model_antiviral3_825,0.9623843000000001,model_antiviral3_825_complex.1
model_antiviral3_1298,0.96188015,model_antiviral3_1298_complex.13
model_antiviral3_1421,0.961836,model_antiviral3_1421_complex.20
model_antiviral3_3700,0.9612948,model_antiviral3_3700_complex.7
model_antiviral3_4497,0.9602485999999999,model_antiviral3_4497_complex.7
model_antiviral3_1637,0.9600943999999999,model_antiviral3_1637_complex.5
model_antiviral3_2455,0.95960504,model_antiviral3_2455_complex.3
model_antiviral3_2915,0.9595812,model_antiviral3_2915_complex.19
model_antiviral3_1461,0.9594146000000001,model_antiviral3_1461_complex.15
model_antiviral3_359,0.9581058000000001,model_antiviral3_359_complex.10
model_antiviral3_2184,0.95751226,model_antiviral3_2184_complex.11
model_antiviral3_95,0.9573583000000001,model_antiviral3_95_complex.20
model_antiviral3_2894,0.95702046,model_antiviral3_2894_complex.5
model_antiviral3_886,0.956484,model_antiviral3_886_complex.16
model_antiviral3_818,0.95632637,model_antiviral3_818_complex.8
model_antiviral3_2747,0.95626086,model_antiviral3_2747_complex.15
model_antiviral3_1610,0.9562293,model_antiviral3_1610_complex.14
model_antiviral3_3295,0.9560249,model_antiviral3_3295_complex.9
model_antiviral3_4383,0.9558934000000001,model_antiviral3_4383_complex.3
model_antiviral3_3621,0.95587695,model_antiviral3_3621_complex.3
model_antiviral3_3832,0.9557126,model_antiviral3_3832_complex.19
model_antiviral3_299,0.95558566,model_antiviral3_299_complex.15
model_antiviral3_2882,0.9555117,model_antiviral3_2882_complex.7
